Initial Mass,Initial Metallicity,Overshooting factor,Core Mass,Envelope Mass,Final Fate,Explosion,Termination Code
2.2000,0.0001,0.0160,1.275,0.869,ONeWD*,NO,min_timestep_limit
2.2000,0.0010,0.0000,1.184,0.722,ONeWD*,NO,max_model_number
2.2000,0.0010,0.0140,1.121,0.621,ONeWD*,NO,max_model_number
2.2000,0.0010,0.0160,1.184,0.721,ONeWD*,NO,max_model_number
2.2000,0.0200,0.0000,1.368,0.112,ONeWD*,NO,min_timestep_limit
2.2000,0.0200,0.0140,1.152,0.451,ONeWD*,NO,max_model_number
2.2000,0.0200,0.0160,1.346,0.174,ONeWD*,NO,max_model_number
2.3000,0.0001,0.0000,1.212,0.837,ONeWD*,NO,max_model_number
2.3000,0.0001,0.0140,1.328,0.946,ONeWD*,NO,min_timestep_limit
2.3000,0.0001,0.0160,1.325,0.948,ONeWD*,NO,min_timestep_limit
2.3000,0.0010,0.0000,1.205,0.821,ONeWD*,NO,min_timestep_limit
2.3000,0.0010,0.0140,1.316,0.911,ONeWD*,NO,max_model_number
2.3000,0.0010,0.0160,1.315,0.913,ONeWD*,NO,max_model_number
2.3000,0.0200,0.0000,1.367,0.089,ONeWD,YES,logQ_limit
2.3000,0.0200,0.0140,1.018,0.557,ONeWD*,NO,max_model_number
2.3000,0.0200,0.0160,1.366,0.148,ONeWD*,NO,max_model_number
2.4000,0.0001,0.0000,1.244,0.953,ONeWD*,NO,max_model_number
2.4000,0.0001,0.0140,1.372,1.0,ONeSiWD*,NO,min_timestep_limit
2.4000,0.0001,0.0160,1.367,1.006,ONeSiWD*,NO,min_timestep_limit
2.4000,0.0010,0.0000,1.363,0.022,ONeWD,YES,max_model_number
2.4000,0.0010,0.0140,1.356,0.967,ONeWD*,NO,min_timestep_limit
2.4000,0.0010,0.0160,1.355,0.968,ONeWD*,NO,min_timestep_limit
2.4000,0.0200,0.0000,1.365,0.058,ONeWD,YES,logQ_limit
